Data Source,Human Capital Index,,,,,,,,,,,,,
Last Updated Date,9/21/2020,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
San Marino,SMR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Somalia,SOM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Serbia,SRB,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6511238217,,,,,,,0.755,0.7594854832,,0.6766063571
South Sudan,SSD,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.302,0.3059129715,,0.3065208495
Sao Tome and Principe,STP,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Suriname,SUR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Slovak Republic,SVK,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.6783577204,,,,,,,0.694,0.6800501347,,0.6649873257
Slovenia,SVN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7521300316,,,,,,,0.788,0.788688302,,0.7749869823
Sweden,SWE,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.7621133327,,,,,,,0.8,0.8025099635,,0.7953571081
Eswatini,SWZ,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.3107690811,,,,,,,0.409,0.3695409,,0.372500807
Sint Maarten (Dutch part),SXM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Seychelles,SYC,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5745359063,,,,,,,0.678,0.6305571795,,0.6327790618
Syrian Arab Republic,SYR,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Turks and Caicos Islands,TCA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Chad,TCD,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.2860746384,,,,,,,0.293,0.2990289927,,0.2997827828
Togo,TGO,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.367949605,,,,,,,0.413,0.4207927585,,0.4318680465
Thailand,THA,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5849853158,,,,,,,0.604,0.616861403,,0.6093109846
Tajikistan,TJK,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.533,0.542126298,,0.5041163564
Turkmenistan,TKM,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,,,,
Timor-Leste,TLS,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.4106656015,,,,,,,0.434,0.4530518949,,0.4543145299
Tonga,TON,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,,,,,,,,0.512,0.5180341601,,0.5311206579
Trinidad and Tobago,TTO,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5505203009,,,,,,,0.613,0.6023268104,,0.60348773
Tunisia,TUN,Human Capital Index (HCI) (scale 0-1),HD.HCI.OVRL,0.5252143145,,,,,,,0.508,0.5096095204,,0.5168099403
